Name,Empty,Date,Director,Notes,Rate,Year,Extra
L'eclisse / 慾海含羞花,"Monica Vitti, Alain Delon","July 28, 2019",Michelangelo Antonioni,,9,1962,
Shoeshine / 擦鞋童,,"August 3, 2019",Vittorio De Sica,,9.5,1946,
L'amore / 愛,,"August 5, 2019",Roberto Rossellini,,6.5,1948,
Fabiola / 神話故事,,"August 9, 2019",Alessandro Blasetti,,6.5,1949,
Rocco and His Brothers / 洛可兄弟,,"August 10, 2019",Luchino Visconti,,9.5,1960,
Il Grido / 哭泣,,"August 10, 2019",Michelangelo Antonioni,,7.5,1957,
"Rome, Open City / 羅馬，不設防城市",,"August 13, 2019",Roberto Rossellini,,8,1945,
My Own Private Idaho / 男人的一半還是男人,River Phoenix,"July 30, 2019",Gus van Sant,with Tuan at Miaoko,9.5,1991,
Umberto D /  退休生活,,"August 2, 2019",Vittorio De Sica,,7.5,1952,
Ten things I hate about you / 對面惡女看過來,,"July 31, 2019",Roberto Rossellini,with Tuan at Miaoko,6,1945,
Faces Places / 最酷的旅伴,,"September 6, 2019",Agnes Varda,,7.5,2017,
Objectified,,"September 5, 2019",,,,2009,
齊木楠雄的災難,,"October 3, 2019",,,,,
返校,,"October 4, 2019",徐漢強,#新民生戲院 #赤燭,7,2019,
Zombieland 屍樂園,,"October 10, 2019",,,7.5,2009,
Neon Genesis Evangelio / 新世紀福音戰士,,"October 11, 2019",庵野秀明,#明日香不要,7.5,1995,
Une Femme est Une Femme 女人就是女人,,"October 13, 2019",Jean-Luc Godard,#KarinaDancing,8,1961,
Zombieland 2,,"October 13, 2019",,長春國賓,,2019,
Mah Jong / 麻將,,"October 15, 2019",Edward Yang 楊德昌,,9.5,1996,
Zombieland 屍樂園,,"October 10, 2019",,,,2009,
Confucius Confusion / 獨立時代,,"October 17, 2019",Edward Yang 楊德昌,,8,1994,
" My Sons / 兒子",永瀨正敏,"October 10, 2019","Yoji Yamada 山田洋次 ",,,1991,
Sympathy for Lady Vengeance / 親切的金子,"李英愛, 崔岷植, 宋康昊","November 2, 2019",Park Chan-wook / 朴贊郁,,7,2005,
The Twilight Samurai / 黃昏清兵衛,,"November 1, 2019","Yoji Yamada 山田洋次 ",,,2002,
陽光普照,陳以文、柯淑勤、巫建和、劉冠廷、許光漢,"November 10, 2019",鍾孟宏,,7,2019,
Maggie / 一條鯰魚救世界,,"November 10, 2019",李玉燮,,9.5,2019,
Nimic / 模仿客,,"November 23, 2019",Yorgos Lanthimos,,6.5,2019,
"My Life to Live / Vivre sa Vie / 賴活 ",,"November 28, 2019",Jean-Luc Godard,,9.4,1962,
Fury / 狂怒,,"December 18, 2019",Fritz Lang,,,1936,
Kinetta / 非普通犯罪,,"November 23, 2019",Yorgos Lanthimos,,5.5,2019,
Metropolis / 大都會,,"December 17, 2019",Fritz Lang,,,1927,
Red Desert / Il Deserto Rosso 紅色沙漠,,"December 19, 2019",Michelangelo Antonioni,Monica Vitti,9.5,1964,
Marriage Story / 婚姻故事,,"December 25, 2019",Noah Baumbach,"Adam Driver, Scarlett Johansson, Laura Dern",9.5,2019,
Sunrise / 愛在日落巴黎時,,"January 30, 2018",,,,,
Coffee and Cigarette / 咖啡與菸,,"February 4, 2018",Jim Jarmusch,,,,
I'm So Excited / 飛常性奮,,"August 2, 2018",Pedro Almodóvar,,,2013,
青梅竹馬,,"March 1, 2018",Edward Yang 楊德昌,,,1985,
愛情萬歲,,"February 16, 2018",蔡明亮,,,1994,
牯嶺街少年殺人事件,,"March 15, 2018",Edward Yang 楊德昌,,,1991,
Nostaghia / 鄉愁,,"July 2, 2018",Andrei Tarkovsky,,,1983,
青少年哪吒,,"February 7, 2018",蔡明亮,,,1992,
